NOME DO CLIENTE;ID DO PROJETO;NOME DO PROJETO;REFERÊNCIA DA PEÇA;DESCRIÇÃO MÓDULO;QUANTIDADE;LARGURA DA PEÇA;ALTURA DA PEÇA;METRO QUADRADO;ESPESSURA;CODIGO DO MATERIAL;MATERIAL DA PEÇA;VEIO;BORDA_FACE_FRENTE;BORDA_FACE_TRASEIRA;BORDA_FACE_LE;BORDA_FACE_LD;LOTE;OBSERVAÇÃO;DESCRIÇÃO DA PEÇA;ID DA PEÇA;LOCAL;DUPLAGEM;FURO;OBS;REFERENCIA
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M157874;Porta de passagem    ;1;974;2120;2.06488;15;177261900415;Nogueira Udine Leo 209;1;;;;;538981;;Capa direita;818733;Caixa; encaminhar para duplagem;;;M157874 - P818733
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M157874;Porta de passagem    ;1;974;2120;2.06488;6;17726190046;Nogueira Udine Leo 209;1;;;;;538981;;Capa esquerda;818732;Caixa; encaminhar para duplagem;;;M157874 - P818732
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M157874;Porta de passagem    ;1;110;704;0.07744;25;150850212125;Compensado;1;;;;;538981;;Sarrafo horizontal inf;1160526;Caixa; encaminhar para duplagem;;;M157874 - P1160526
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M157874;Porta de passagem    ;1;110;704;0.07744;25;150850212125;Compensado;1;;;;;538981;;Sarrafo horizontal sup;1160528;Caixa; encaminhar para duplagem;;;M157874 - P1160528
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M157874;Porta de passagem    ;1;110;2120;0.2332;25;150850212125;Compensado;1;;;;;538981;;Sarrafo vertical;1160527;Caixa; encaminhar para duplagem;;;M157874 - P1160527
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M157874;Porta de passagem    ;1;160;2120;0.3392;25;150850212125;Compensado;1;;;;;538981;;Sarrafo vertical;1160525;Caixa; encaminhar para duplagem;;;M157874 - P1160525
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M158791;Porta de passagem    ;1;937;2120;1.98644;15;177261900415;Nogueira Udine Leo 209;1;;;;;538981;;Capa direita;781806;Caixa; encaminhar para duplagem;;;M158791 - P781806
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M158791;Porta de passagem    ;1;937;2120;1.98644;6;17726190046;Nogueira Udine Leo 209;1;;;;;538981;;Capa esquerda;781805;Caixa; encaminhar para duplagem;;;M158791 - P781805
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M158791;Porta de passagem    ;1;110;667;0.07337;25;150850212125;Compensado;1;;;;;538981;;Sarrafo horizontal inf;1133537;Caixa; encaminhar para duplagem;;;M158791 - P1133537
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M158791;Porta de passagem    ;1;110;667;0.07337;25;150850212125;Compensado;1;;;;;538981;;Sarrafo horizontal sup;1133539;Caixa; encaminhar para duplagem;;;M158791 - P1133539
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M158791;Porta de passagem    ;1;110;2120;0.2332;25;150850212125;Compensado;1;;;;;538981;;Sarrafo vertical;1133538;Caixa; encaminhar para duplagem;;;M158791 - P1133538
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M158791;Porta de passagem    ;1;160;2120;0.3392;25;150850212125;Compensado;1;;;;;538981;;Sarrafo vertical;1133536;Caixa; encaminhar para duplagem;;;M158791 - P1133536
1129 - TRUE NEUROLOGIA;0175989325;RECEPÇÃO;M160977;Porta de passagem    ;1;634;2120;1.34408;15;177261900415;Nogueira Udine Leo 209;1;;;;;538981;;Capa direita;802197;Caixa; encaminhar para duplagem;;;M160977 - P802197
